device,query_set_size,k,params,latency,recall
gpu,100,50,64,1.4622292518615723,0.9862
gpu,100,50,128,1.0268254280090332,0.9844
gpu,100,50,256,0.6730923652648926,0.9688
gpu,100,100,1,0.4432034492492676,0.2604
gpu,100,100,2,0.40206432342529297,0.3535
gpu,100,100,4,0.40541601181030273,0.5856
gpu,100,100,16,0.40726685523986816,0.4662
gpu,100,100,32,0.39122724533081055,0.8071
gpu,100,100,64,1.4528651237487793,0.9856
gpu,100,100,128,0.9686770439147949,0.9833
gpu,100,100,256,0.6528739929199219,0.9641
gpu,1000,10,1,1.0135269165039062,0.3492
gpu,1000,10,2,1.0938246250152588,0.4671
gpu,1000,10,4,1.1491799354553223,0.6997
gpu,1000,10,16,0.9682102203369141,0.5844
gpu,1000,10,32,1.342414379119873,0.8722
gpu,1000,10,64,11.189229965209961,0.9796
gpu,1000,10,128,6.309852123260498,0.9776
gpu,1000,10,256,2.551687479019165,0.967
gpu,1000,50,1,1.0087614059448242,0.29152
gpu,1000,50,2,1.1024692058563232,0.39808
gpu,1000,50,4,1.1196792125701904,0.6358
gpu,1000,50,16,1.2105371952056885,0.51718
gpu,1000,50,32,1.3287482261657715,0.83258
gpu,1000,50,64,10.898146867752075,0.98306
gpu,1000,50,128,6.396368026733398,0.98086
gpu,1000,50,256,2.5857861042022705,0.96368
gpu,1000,100,1,1.3046588897705078,0.26533
gpu,1000,100,2,0.9781284332275391,0.36732
gpu,1000,100,4,1.030379295349121,0.60388
gpu,1000,100,16,1.2031993865966797,0.48404
gpu,1000,100,32,1.3363301753997803,0.8126
gpu,1000,100,64,11.171010255813599,0.98544
gpu,1000,100,128,6.205724239349365,0.98287
gpu,1000,100,256,2.3143668174743652,0.96191
